,GAME ID,DATE
214,20000976,2001-03-20
215,20000975,2001-03-20
216,20000974,2001-03-20
217,20000973,2001-03-20
218,20000971,2001-03-20
219,20000969,2001-03-20
220,20000968,2001-03-20
221,20000972,2001-03-20
222,20000965,2001-03-19
223,20000966,2001-03-19
224,20000967,2001-03-19
225,20000964,2001-03-18
226,20000962,2001-03-18
227,20000961,2001-03-18
228,20000960,2001-03-18
229,20000959,2001-03-18
230,20000958,2001-03-18
231,20000963,2001-03-18
232,20000951,2001-03-17
233,20000953,2001-03-17
234,20000954,2001-03-17
235,20000955,2001-03-17
236,20000956,2001-03-17
237,20000957,2001-03-17
238,20000952,2001-03-17
239,20000948,2001-03-16
240,20000949,2001-03-16
241,20000947,2001-03-16
242,20000945,2001-03-16
243,20000944,2001-03-16
244,20000941,2001-03-16
